iter	Passed	Remaining
167	3371	6662
168	3389	6639
169	3409	6617
170	3426	6592
171	3446	6572
172	3465	6549
173	3484	6527
174	3503	6507
175	3522	6485
176	3540	6460
177	3561	6442
178	3580	6420
179	3599	6399
180	3620	6380
181	3639	6359
182	3658	6337
183	3683	6325
184	3704	6307
185	3724	6287
186	3744	6267
187	3763	6245
188	3783	6225
189	3802	6203
190	3820	6180
191	3851	6177
192	3869	6155
193	3889	6134
194	3908	6112
195	3927	6091
196	3946	6069
197	3964	6047
198	3982	6024
199	4002	6003
200	4014	5971
201	4034	5952
202	4056	5934
203	4082	5923
204	4114	5921
205	4149	5921
206	4180	5917
207	4201	5898
208	4227	5886
209	4246	5863
210	4264	5841
211	4283	5818
212	4301	5796
213	4320	5774
214	4340	5753
215	4358	5730
216	4375	5706
217	4394	5684
218	4413	5663
219	4432	5641
220	4451	5619
221	4469	5597
222	4488	5575
223	4505	5551
224	4524	5529
225	4543	5508
226	4561	5485
227	4580	5464
228	4599	5442
229	4619	5422
230	4638	5401
231	4658	5380
232	4681	5364
233	4702	5345
234	4721	5323
235	4738	5301
236	4758	5280
237	4777	5259
238	4796	5238
239	4815	5216
240	4833	5194
241	4853	5174
242	4874	5155
243	4894	5135
244	4912	5113
245	4933	5094
246	4955	5075
247	4977	5057
248	4997	5037
249	5015	5015
250	5033	4993
251	5053	4973
252	5072	4952
253	5091	4931
254	5111	4911
255	5130	4889
256	5150	4869
257	5168	4848
258	5187	4826
259	5207	4807
260	5226	4785
261	5245	4765
262	5265	4744
263	5284	4723
264	5302	4702
265	5321	4681
266	5340	4660
267	5360	4640
268	5379	4619
269	5398	4598
270	5418	4578
271	5436	4556
272	5455	4535
273	5474	4515
274	5493	4494
275	5512	4473
276	5531	4453
277	5550	4432
278	5569	4411
279	5590	4392
280	5609	4371
281	5628	4351
282	5646	4329
283	5667	4310
284	5687	4290
285	5708	4271
286	5728	4251
287	5748	4231
288	5767	4210
289	5787	4190
290	5807	4170
291	5827	4151
292	5848	4131
293	5867	4111
294	5890	4093
295	5909	4073
296	5930	4053
297	5950	4033
298	5971	4014
299	5991	3994
300	6011	3974
301	6029	3952
302	6047	3931
303	6068	3912
304	6088	3892
305	6107	3872
306	6127	3851
307	6146	3831
308	6166	3811
309	6185	3791
310	6206	3771
311	6228	3752
312	6250	3734
313	6272	3715
314	6292	3695
315	6311	3675
316	6329	3653
317	6348	3633
318	6367	3612
319	6386	3592
320	6405	3572
321	6424	3551
322	6444	3531
323	6465	3512
324	6483	3491
325	6502	3470
326	6521	3450
327	6539	3429
328	6558	3408
329	6578	3388
330	6599	3369
331	6617	3348
332	6636	3328
333	6656	3308
334	6678	3289
335	6698	3269
336	6719	3250
337	6739	3229
338	6758	3209
339	6778	3189
340	6797	3169
341	6818	3150
342	6838	3130
343	6858	3110
344	6877	3089
345	6896	3069
346	6916	3049
347	6935	3029
348	6955	3009
349	6975	2989
350	6993	2968
351	7012	2948
352	7031	2928
353	7051	2908
354	7069	2887
355	7089	2867
356	7108	2847
357	7128	2827
358	7146	2806
359	7165	2786
360	7184	2766
361	7203	2746
362	7222	2725
363	7242	2705
364	7261	2685
365	7279	2665
366	7298	2645
367	7317	2624
368	7334	2603
369	7354	2584
370	7375	2564
371	7395	2544
372	7414	2524
373	7433	2504
374	7452	2484
375	7472	2464
376	7491	2444
377	7511	2424
378	7530	2404
379	7549	2384
380	7569	2364
381	7587	2343
382	7607	2323
383	7626	2303
384	7644	2283
385	7664	2263
386	7684	2243
387	7705	2224
388	7725	2204
389	7746	2184
390	7766	2165
391	7785	2144
392	7803	2124
393	7823	2104
394	7842	2084
395	7863	2065
396	7882	2045
397	7901	2025
398	7920	2004
399	7939	1984
400	7959	1965
401	7978	1945
402	7996	1924
403	8015	1904
404	8034	1884
405	8054	1864
406	8074	1844
407	8093	1825
408	8112	1805
409	8132	1785
410	8153	1765
411	8173	1745
412	8192	1725
413	8210	1705
414	8229	1685
415	8247	1665
416	8267	1645
417	8285	1625
418	8305	1605
419	8324	1585
420	8342	1565
421	8360	1545
422	8380	1525
423	8398	1505
424	8418	1485
425	8437	1465
426	8457	1445
427	8476	1425
428	8497	1406
429	8518	1386
430	8538	1366
431	8557	1346
432	8575	1326
433	8595	1307
434	8614	1287
435	8634	1267
436	8655	1247
437	8676	1228
438	8697	1208
439	8718	1188
440	8739	1169
441	8760	1149
442	8781	1129
443	8800	1109
444	8820	1090
445	8839	1070
446	8858	1050
447	8877	1030
448	8895	1010
449	8915	990
450	8935	970
451	8954	950
452	8975	931
453	8996	911
454	9015	891
455	9035	871
456	9055	852
457	9074	832
458	9095	812
459	9114	792
460	9134	772
461	9154	752
462	9172	733
463	9192	713
464	9211	693
465	9230	673
466	9250	653
467	9270	633
468	9293	614
469	9312	594
470	9331	574
471	9352	554
472	9371	534
473	9392	515
474	9412	495
475	9432	475
476	9452	455
477	9473	435
478	9493	416
479	9511	396
480	9531	376
481	9550	356
482	9570	336
483	9590	317
484	9609	297
485	9627	277
486	9647	257
487	9669	237
488	9690	217
489	9708	198
490	9729	178
491	9749	158
492	9770	138
493	9791	118
494	9813	99
495	9834	79
496	9855	59
497	9874	39
498	9893	19
499	9913	0
