iter	Logloss
398	0.1806319497
399	0.1805886324
400	0.1805419276
401	0.180495896
402	0.1804691798
403	0.1804154799
404	0.1803436466
405	0.1802884808
406	0.1802273854
407	0.1801851735
408	0.1801528379
409	0.1800929963
410	0.1800578776
411	0.1800138923
412	0.1799554237
413	0.179915107
414	0.1798812526
415	0.1798420624
416	0.1797934332
417	0.1797675255
418	0.1797178757
419	0.1796793111
420	0.1796437894
421	0.1795851406
422	0.1795452347
423	0.1794998075
424	0.1794557427
425	0.1794004497
426	0.1793346732
427	0.1793012668
428	0.1792376109
429	0.1791870175
430	0.1791511565
431	0.1791239102
432	0.1790819952
433	0.1790398548
434	0.1789821814
435	0.1789201901
436	0.1788664689
437	0.1788343719
438	0.1787499162
439	0.1787033942
440	0.1786629237
441	0.1786156013
442	0.1785394713
443	0.1784947518
444	0.1784582865
445	0.1784242916
446	0.1783892762
447	0.1783413176
448	0.1783095705
449	0.1782733464
450	0.1782208975
451	0.1781815191
452	0.1781320788
453	0.178090556
454	0.1780603913
455	0.1780199447
456	0.1779813482
457	0.1779531742
458	0.1778926488
459	0.1778658346
460	0.1778109418
461	0.177783714
462	0.177747975
463	0.1777043715
464	0.1776629043
465	0.1776209601
466	0.1775639573
467	0.1775185142
468	0.1774649653
469	0.1774325582
470	0.1773910407
471	0.1773310082
472	0.1772874736
473	0.1772392287
474	0.1771890541
475	0.1771419066
476	0.1770959413
477	0.1770535278
478	0.1770033002
479	0.1769814375
480	0.1769365112
481	0.1768901828
482	0.1768426748
483	0.1768093505
484	0.176754577
485	0.1767274765
486	0.1766833507
487	0.1766463818
488	0.1765853845
489	0.1765708562
490	0.1765435649
491	0.1764868617
492	0.1764452885
493	0.1763878166
494	0.1763255496
495	0.1762840083
496	0.1762335713
497	0.1762044086
498	0.1761582365
499	0.1761172651
